id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Smg1	4	1.0	1.0	1.0	19619	0	1.487	1.2368e-06	9.3419e-06	0.001763	60	4	1.487
Ctdnep1	4	1.0	1.0	1.0	19618	0	0.94868	1.2462e-06	9.3419e-06	0.001763	61	4	0.94868
Thoc3	4	1.0	1.0	1.0	19617	0	1.071	1.3427e-06	9.3419e-06	0.001763	62	4	1.071
Sugp1	4	1.0	1.0	1.0	19616	0	0.97542	1.6615e-06	9.821e-06	0.001763	63	4	0.97542
Skp1a	4	1.0	1.0	1.0	19615	0	1.3215	1.8992e-06	9.821e-06	0.001763	64	4	1.3215
Mgat1	4	0.99958	0.99997	1.0	19439	0	1.1995	2.1199e-06	9.821e-06	0.001763	65	4	1.1995
1110037F02Rik	4	1.0	1.0	1.0	19613	0	1.0276	2.3189e-06	9.821e-06	0.001763	66	4	1.0276
Bloc1s4	4	1.0	1.0	1.0	19612	0	1.0335	2.4192e-06	9.821e-06	0.001763	67	4	1.0335
Eny2	4	1.0	1.0	1.0	19611	0	0.97645	2.7668e-06	9.821e-06	0.001763	68	4	0.97645
Orc6	4	0.99641	0.99921	1.0	19207	0	2.0612	2.8744e-06	9.821e-06	0.001763	69	4	2.0612
Trib1	4	1.0	1.0	1.0	19610	0	0.76814	3.0355e-06	9.821e-06	0.001763	70	4	0.76814
Ddx5	4	1.0	1.0	1.0	19609	0	1.1258	3.0429e-06	9.821e-06	0.001763	71	4	1.1258
Dnmt1	4	1.0	1.0	1.0	19608	0	1.6089	3.1619e-06	9.821e-06	0.001763	72	4	1.6089
Pfn1	4	0.99992	1.0	1.0	19530	0	1.5691	3.1995e-06	9.821e-06	0.001763	73	4	1.5691
Yeats2	4	1.0	1.0	1.0	19607	0	1.1248	3.3078e-06	9.821e-06	0.001763	74	4	1.1248
Keap1	4	0.99979	0.99999	1.0	19478	0	2.2597	3.3174e-06	9.821e-06	0.001763	75	4	2.2597
Slc17a5	4	1.0	1.0	1.0	19606	0	0.93828	3.6062e-06	9.821e-06	0.001763	76	4	0.93828
Sprr2a1	4	1.0	1.0	1.0	19605	0	1.093	3.8452e-06	9.821e-06	0.001763	77	4	1.093
Nae1	4	1.0	1.0	1.0	19604	0	1.2697	4.1464e-06	9.821e-06	0.001763	78	4	1.2697
Mre11a	4	1.0	1.0	1.0	19603	0	0.93811	4.1696e-06	9.821e-06	0.001763	79	4	0.93811
Cand1	4	1.0	1.0	1.0	19602	0	1.0952	4.2069e-06	9.821e-06	0.001763	80	4	1.0952
Vmn1r128	4	0.99994	1.0	1.0	19547	0	1.7934	4.3192e-06	9.821e-06	0.001763	81	4	1.7934
Cdipt	4	1.0	1.0	1.0	19601	0	0.98539	4.4748e-06	9.821e-06	0.001763	82	4	0.98539
Nceh1	4	1.0	1.0	1.0	19600	0	1.0999	4.7044e-06	9.821e-06	0.001763	83	4	1.0999
Rpl10a	4	0.99998	1.0	1.0	19570	0	2.0202	4.7771e-06	9.821e-06	0.001763	84	4	2.0202
Mcm3	4	1.0	1.0	1.0	19598	0	1.1188	4.911e-06	9.821e-06	0.001763	85	4	1.1188
Smarca5	4	0.80885	0.88461	1.0	15218	0	1.3139	5.0002e-06	9.821e-06	0.001763	86	3	1.3139
Tuba1c	4	0.99999	1.0	1.0	19597	0	1.5782	5.4803e-06	1.03e-05	0.001763	87	4	1.5782
Ccna2	4	0.99999	1.0	1.0	19596	0	1.2746	6.5285e-06	1.03e-05	0.001763	88	4	1.2746
Traip	4	0.99895	0.99983	1.0	19360	0	1.5113	6.611e-06	1.03e-05	0.001763	89	4	1.5113
Rrp36	4	0.99587	0.99909	1.0	19182	0	1.5027	7.7163e-06	1.03e-05	0.001763	90	4	1.5027
Rad51d	4	0.99786	0.99956	1.0	19280	0	1.3882	8.0225e-06	1.03e-05	0.001763	91	4	1.3882
Orc5	4	0.99991	0.99999	1.0	19517	0	1.448	8.1907e-06	1.03e-05	0.001763	92	4	1.448
Gm4836	4	0.99999	1.0	1.0	19595	0	1.4845	8.3976e-06	1.03e-05	0.001763	93	4	1.4845
Orc2	4	0.99999	1.0	1.0	19594	0	1.2628	8.5876e-06	1.03e-05	0.001763	94	4	1.2628
Rad9a	4	0.99999	1.0	1.0	19593	0	1.1707	8.9691e-06	1.0779e-05	0.001763	95	4	1.1707
Tgfbr1	4	0.99999	1.0	1.0	19592	0	0.79082	9.7963e-06	1.0779e-05	0.001763	96	4	0.79082
Wtap	4	0.99999	1.0	1.0	19591	0	0.66598	1.0661e-05	1.0779e-05	0.001763	97	4	0.66598
Imp3	4	0.99999	1.0	1.0	19590	0	1.3591	1.0727e-05	1.0779e-05	0.001763	98	4	1.3591
Bri3	4	0.99999	1.0	1.0	19589	0	0.95364	1.1167e-05	1.0779e-05	0.001763	99	4	0.95364
Thap11	4	0.99656	0.99923	1.0	19209	0	2.2656	1.1576e-05	1.0779e-05	0.001763	100	4	2.2656
Hmox1	4	0.99999	1.0	1.0	19588	0	0.68472	1.1621e-05	1.0779e-05	0.001763	101	4	0.68472
Szt2	4	0.99998	1.0	1.0	19575	0	1.2455	1.1815e-05	1.0779e-05	0.001763	102	4	1.2455
Tonsl	4	0.99999	1.0	1.0	19587	0	0.99531	1.1996e-05	1.0779e-05	0.001763	103	4	0.99531
Ppie	4	0.97131	0.98817	1.0	18508	0	1.0071	1.2001e-05	1.0779e-05	0.001763	104	3	1.0071
Atg13	4	0.99848	0.99973	1.0	19324	0	1.3258	1.2126e-05	1.0779e-05	0.001763	105	4	1.3258
Ap3d1	4	0.99843	0.99973	1.0	19321	0	0.85119	1.2189e-05	1.0779e-05	0.001763	106	4	0.85119
Apbb1ip	4	0.99999	1.0	1.0	19586	0	1.0593	1.2539e-05	1.0779e-05	0.001763	107	4	1.0593
Hspe1	4	0.99999	1.0	1.0	19585	0	1.161	1.2698e-05	1.0779e-05	0.001763	108	4	1.161
Mau2	4	0.99999	1.0	1.0	19584	0	1.3304	1.3066e-05	1.0779e-05	0.001763	109	4	1.3304
Nrf1	4	0.99997	1.0	1.0	19562	0	1.4638	1.3192e-05	1.0779e-05	0.001763	110	4	1.4638
Trim28	4	0.99999	1.0	1.0	19583	0	0.7084	1.3298e-05	1.0779e-05	0.001763	111	4	0.7084
Epg5	4	0.99999	1.0	1.0	19580	0	1.1154	1.4678e-05	1.0779e-05	0.001763	112	4	1.1154
Lsm2	4	0.97805	0.99129	1.0	18684	0	1.3967	1.4922e-05	1.0779e-05	0.001763	113	3	1.3967
Gm16513	4	0.99998	1.0	1.0	19579	0	1.2033	1.5845e-05	1.0779e-05	0.001763	114	4	1.2033
Bloc1s3	4	0.99998	1.0	1.0	19578	0	0.60385	1.5871e-05	1.0779e-05	0.001763	115	4	0.60385
Sde2	4	0.99998	1.0	1.0	19577	0	1.1443	1.6461e-05	1.0779e-05	0.001763	116	4	1.1443
Cnot1	4	0.87753	0.93672	1.0	16548	0	1.6571	1.6526e-05	1.0779e-05	0.001763	117	3	1.6571
Pnn	4	0.99946	0.99995	1.0	19420	0	1.7859	1.7657e-05	1.1258e-05	0.001763	118	4	1.7859
Bap1	4	0.99998	1.0	1.0	19576	0	0.95602	1.7911e-05	1.1258e-05	0.001763	119	4	0.95602
Mbd2	4	0.99948	0.99995	1.0	19421	0	0.80445	1.8446e-05	1.1258e-05	0.001763	120	4	0.80445
Pcid2	4	0.99998	1.0	1.0	19574	0	0.90183	1.8872e-05	1.1258e-05	0.001763	121	4	0.90183
Tnpo3	4	0.99154	0.99749	1.0	19036	0	1.3156	1.9033e-05	1.1258e-05	0.001763	122	4	1.3156
Gnb2l1	4	0.99998	1.0	1.0	19573	0	1.3316	1.9337e-05	1.1258e-05	0.001763	123	4	1.3316
Mms22l	4	0.97321	0.9893	1.0	18557	0	1.2797	2.0614e-05	1.1258e-05	0.001763	124	3	1.2797
Hist1h3d	4	0.99998	1.0	1.0	19572	0	2.0338	2.1827e-05	1.1258e-05	0.001763	125	4	2.0338
1810043H04Rik	4	0.99998	1.0	1.0	19571	0	0.81034	2.2085e-05	1.1258e-05	0.001763	126	4	0.81034
Vmn2r40	4	0.77086	0.86161	1.0	14516	0	1.6569	2.2388e-05	1.1258e-05	0.001763	127	3	1.6569
Phb2	4	0.99518	0.99885	1.0	19152	0	1.387	2.253e-05	1.1258e-05	0.001763	128	4	1.387
Magoh	4	0.99998	1.0	1.0	19569	0	1.4598	2.2874e-05	1.1258e-05	0.001763	129	4	1.4598
Mark2	4	0.99998	1.0	1.0	19568	0	0.6299	2.3259e-05	1.1258e-05	0.001763	130	4	0.6299
Kif20a	4	0.99301	0.99818	1.0	19079	0	1.2442	2.3394e-05	1.1258e-05	0.001763	131	4	1.2442
Ppan	4	0.96391	0.98468	1.0	18339	0	1.4175	2.3588e-05	1.1258e-05	0.001763	132	3	1.4175
Ipo13	4	0.99998	1.0	1.0	19567	0	1.0755	2.3889e-05	1.1737e-05	0.00181	133	4	1.0755
Eif5a	3	0.9971	0.99964	1.0	19234	0	1.4844	2.3891e-05	0.003004	0.142269	134	3	1.4844
Zc3h13	4	0.99561	0.999	1.0	19168	0	1.0258	2.4478e-05	1.1737e-05	0.00181	135	4	1.0258
Prdm10	4	0.99997	1.0	1.0	19566	0	0.96959	2.5911e-05	0.0040364	0.142269	136	4	0.96959
Txn1	4	0.96646	0.98617	1.0	18395	0	1.397	2.5958e-05	0.0040364	0.142269	137	3	1.397
Espl1	4	0.99997	1.0	1.0	19565	0	1.2668	2.6612e-05	0.0040364	0.142269	138	4	1.2668
Smg5	4	0.88781	0.94209	1.0	16763	0	1.7476	2.6747e-05	0.0040364	0.142269	139	3	1.7476
Hist1h3f	4	0.99997	1.0	1.0	19564	0	1.2692	2.7044e-05	0.0040364	0.142269	140	4	1.2692
Mrpl34	4	0.99997	1.0	1.0	19563	0	0.67605	2.7062e-05	0.0040364	0.142269	141	4	0.67605
Rasa1	4	0.9895	0.99666	1.0	18979	0	1.0419	3.0346e-05	0.0040369	0.142269	142	3	1.0419
Depdc5	4	0.99988	0.99999	1.0	19506	0	1.0812	3.1574e-05	0.004046	0.142269	143	4	1.0812
Ect2	4	0.99992	1.0	1.0	19529	0	1.4126	3.1931e-05	0.004046	0.142269	144	4	1.4126
Uba5	4	0.99849	0.99974	1.0	19326	0	1.1683	3.3756e-05	0.004046	0.142269	145	4	1.1683
Chek1	4	0.96638	0.98617	1.0	18392	0	1.2783	3.5584e-05	0.004046	0.142269	146	3	1.2783
Gins2	4	0.99996	1.0	1.0	19561	0	1.1071	3.5769e-05	0.004046	0.142269	147	4	1.1071
Edc4	4	0.99955	0.99997	1.0	19433	0	1.2016	3.5841e-05	0.004046	0.142269	148	4	1.2016
Tubg1	4	0.99583	0.99907	1.0	19177	0	1.5686	3.6882e-05	0.004046	0.142269	149	4	1.5686
Aurkb	4	0.85946	0.92315	1.0	16197	0	1.6755	3.7344e-05	0.004046	0.142269	150	3	1.6755
Rpa3	4	0.97078	0.98817	1.0	18491	0	1.2888	3.8752e-05	0.004046	0.142269	151	3	1.2888
Rfc3	4	0.99996	1.0	1.0	19560	0	0.74787	3.9591e-05	0.004046	0.142269	152	4	0.74787
Slc31a1	4	0.99996	1.0	1.0	19559	0	0.74541	4.0019e-05	0.004046	0.142269	153	4	0.74541
Hinfp	4	0.99996	1.0	1.0	19558	0	1.2462	4.0172e-05	0.004046	0.142269	154	4	1.2462
Cks1b	4	0.99996	1.0	1.0	19557	0	1.2563	4.0299e-05	0.004046	0.142269	155	4	1.2563
Lsm8	4	0.99996	1.0	1.0	19556	0	1.2482	4.0785e-05	0.004046	0.142269	156	4	1.2482
Kat8	4	0.99996	1.0	1.0	19555	0	1.015	4.2137e-05	0.004046	0.142269	157	4	1.015
Spdl1	4	0.99996	1.0	1.0	19554	0	0.91575	4.3847e-05	0.004046	0.142269	158	4	0.91575
Gmppb	4	0.99996	1.0	1.0	19553	0	0.80999	4.4118e-05	0.004046	0.142269	159	4	0.80999
Gclc	4	0.99996	1.0	1.0	19552	0	0.9216	4.4228e-05	0.004046	0.142269	160	4	0.9216
Smc4	4	0.99712	0.99941	1.0	19235	0	1.5067	4.481e-05	0.0040465	0.142269	161	4	1.5067
Chd8	4	0.99995	1.0	1.0	19551	0	1.2717	4.5107e-05	0.0040465	0.142269	162	4	1.2717
Cul3	4	0.99951	0.99996	1.0	19426	0	1.4554	4.6245e-05	0.0040465	0.142269	163	4	1.4554
Tk1	4	0.94771	0.97582	1.0	17995	0	1.8392	4.709e-05	0.0040465	0.142269	164	3	1.8392
Dna2	4	0.99968	0.99999	1.0	19454	0	1.6024	4.7399e-05	0.0040465	0.142269	165	4	1.6024
Pnkp	3	0.99995	1.0	1.0	19550	0	0.95241	5.0127e-05	0.003005	0.142269	166	3	0.95241
Gm3500	4	0.79625	0.87567	1.0	14972	0	1.3334	5.1144e-05	0.0040465	0.142269	167	3	1.3334
Incenp	4	0.94785	0.97582	1.0	17998	0	1.1962	5.4047e-05	0.0040465	0.142269	168	3	1.1962
Slc45a4	4	0.99995	1.0	1.0	19549	0	0.63192	5.4105e-05	0.0040465	0.142269	169	4	0.63192
Dad1	4	0.99994	1.0	1.0	19548	0	1.1436	5.5937e-05	0.0040465	0.142269	170	4	1.1436
Cdc73	4	0.97875	0.99129	1.0	18699	0	1.6651	5.6016e-05	0.0040465	0.142269	171	3	1.6651
Mtmr6	4	0.99994	1.0	1.0	19546	0	1.2372	5.7384e-05	0.0040465	0.142269	172	4	1.2372
Dbf4	4	0.99994	1.0	1.0	19545	0	1.4016	5.805e-05	0.0040465	0.142269	173	4	1.4016
Sec63	4	0.99994	1.0	1.0	19542	0	1.0956	5.8477e-05	0.0040465	0.142269	174	4	1.0956
Ncaph	4	0.99994	1.0	1.0	19544	0	1.0682	5.8689e-05	0.0040465	0.142269	175	4	1.0682
Speer4c	4	0.99994	1.0	1.0	19543	0	1.33	5.9027e-05	0.0040465	0.142269	176	4	1.33
Hdac3	4	0.99994	1.0	1.0	19541	0	0.76773	6.1926e-05	0.004047	0.142269	177	4	0.76773
Gm2897	4	0.99874	0.99979	1.0	19349	0	1.6458	6.2861e-05	0.004047	0.142269	178	4	1.6458
Fermt3	4	0.99994	1.0	1.0	19540	0	1.1916	6.2986e-05	0.004047	0.142269	179	4	1.1916
Rps27rt	4	0.99994	1.0	1.0	19539	0	0.77289	6.3917e-05	0.004047	0.142269	180	4	0.77289
Naa38	4	0.99994	1.0	1.0	19538	0	0.68335	6.453e-05	0.004047	0.142269	181	4	0.68335
Ufsp2	4	0.99994	1.0	1.0	19537	0	0.78923	6.4712e-05	0.004047	0.142269	182	4	0.78923
Olfr1354	4	0.99993	1.0	1.0	19536	0	0.59794	6.5845e-05	0.004047	0.142269	183	4	0.59794
Arih1	4	0.99993	1.0	1.0	19535	0	1.1479	6.7104e-05	0.0040474	0.142269	184	4	1.1479
Hbs1l	4	0.99993	1.0	1.0	19534	0	0.75001	6.7179e-05	0.0040474	0.142269	185	4	0.75001
Leng1	4	0.99993	1.0	1.0	19533	0	0.85172	6.8685e-05	0.0040474	0.142269	186	4	0.85172
Ncbp2	4	0.85139	0.91654	1.0	16042	0	1.2914	6.8938e-05	0.0040474	0.142269	187	3	1.2914
C130026I21Rik	4	0.99993	1.0	1.0	19532	0	1.0112	7.2088e-05	0.0040474	0.142269	188	4	1.0112
Pole	4	0.99993	1.0	1.0	19531	0	1.307	7.2325e-05	0.0040474	0.142269	189	4	1.307
Det1	4	0.9993	0.99992	1.0	19398	0	1.0995	7.5075e-05	0.0040484	0.142269	190	4	1.0995
Hist2h3c1	4	0.99911	0.99986	1.0	19374	0	1.281	7.549e-05	0.0040484	0.142269	191	4	1.281
Nprl3	4	0.9997	0.99999	1.0	19459	0	1.1075	7.6877e-05	0.0040484	0.142269	192	4	1.1075
Lsm4	4	0.99296	0.99818	1.0	19076	0	1.4133	7.8925e-05	0.0040489	0.142269	193	4	1.4133
Ttc4	4	0.99976	0.99999	1.0	19469	0	1.0931	7.947e-05	0.0040489	0.142269	194	4	1.0931
Smc2	4	0.99992	1.0	1.0	19528	0	1.0597	8.1063e-05	0.0040494	0.142269	195	4	1.0597
Ss18	4	0.99992	1.0	1.0	19527	0	0.65639	8.1753e-05	0.0040494	0.142269	196	4	0.65639
Gm5891	4	0.99992	1.0	1.0	19526	0	1.212	8.2535e-05	0.0040498	0.142269	197	4	1.212
Atg101	4	0.95173	0.9782	1.0	18072	0	0.97456	8.2792e-05	0.0040498	0.142269	198	3	0.97456
Bard1	4	0.76534	0.85604	1.0	14403	0	0.98	8.5171e-05	0.0040498	0.142269	199	3	0.98
Mcm7	4	0.99991	1.0	1.0	19525	0	0.99066	8.5404e-05	0.0040498	0.142269	200	4	0.99066
Naa35	3	0.99991	1.0	1.0	19524	0	0.90672	8.5434e-05	0.0030074	0.142269	201	3	0.90672
Topbp1	4	0.99991	1.0	1.0	19523	0	0.7913	8.6392e-05	0.0040498	0.142269	202	4	0.7913
Ak2	4	0.99991	1.0	1.0	19522	0	0.62441	8.7388e-05	0.0040498	0.142269	203	4	0.62441
Hist1h2an	4	0.99991	1.0	1.0	19521	0	1.0969	8.8256e-05	0.0040498	0.142269	204	4	1.0969
Rad54l	4	0.99991	1.0	1.0	19520	0	0.99647	8.8302e-05	0.0040498	0.142269	205	4	0.99647
Arrb2	4	0.99991	1.0	1.0	19519	0	0.70631	8.8761e-05	0.0040498	0.142269	206	4	0.70631
Gm10662	4	0.99838	0.9997	1.0	19319	0	1.3778	8.9354e-05	0.0040498	0.142269	207	4	1.3778
Vmp1	4	0.99991	1.0	1.0	19518	0	0.89356	8.9592e-05	0.0040498	0.142269	208	4	0.89356
Lin52	4	0.99689	0.99933	1.0	19221	0	1.0708	9.1017e-05	0.0040498	0.142269	209	4	1.0708
Mcm2	4	0.99984	0.99999	1.0	19496	0	1.2014	9.1097e-05	0.0040498	0.142269	210	4	1.2014
Vps18	4	0.98934	0.99666	1.0	18972	0	1.231	9.1683e-05	0.0040498	0.142269	211	3	1.231
Alyref	4	0.99991	0.99999	1.0	19516	0	0.67799	9.4125e-05	0.0040503	0.142269	212	4	0.67799
Atg14	4	0.99943	0.99994	1.0	19414	0	1.1322	9.8123e-05	0.0040503	0.142269	213	4	1.1322
Alg1	4	0.99987	0.99999	1.0	19503	0	1.0112	9.9005e-05	0.0040503	0.142269	214	4	1.0112
Sf3b4	4	0.9999	0.99999	1.0	19515	0	1.2592	9.9177e-05	0.0040503	0.142269	215	4	1.2592
Nprl2	4	0.9999	0.99999	1.0	19514	0	1.0099	0.00010053	0.0040503	0.142269	216	4	1.0099
Gins1	4	0.9037	0.94934	1.0	17101	0	1.3853	0.00010066	0.0040503	0.142269	217	3	1.3853
Rps25	4	0.98904	0.99654	1.0	18968	0	1.7898	0.00010132	0.0040503	0.142269	218	3	1.7898
Prpf8	4	0.99929	0.99992	1.0	19393	0	1.4343	0.00010414	0.0040508	0.142269	219	4	1.4343
Vmn1r148	4	0.99989	0.99999	1.0	19513	0	1.2616	0.00010994	0.0040508	0.142269	220	4	1.2616
Vmn2r44	4	0.99989	0.99999	1.0	19512	0	0.96438	0.00011174	0.0040508	0.142269	221	4	0.96438
Cd2bp2	4	0.99892	0.99982	1.0	19358	0	1.0958	0.0001119	0.0040508	0.142269	222	4	1.0958
Tmem55b	4	0.99989	0.99999	1.0	19511	0	0.57759	0.00011229	0.0040508	0.142269	223	4	0.57759
Opn3	4	0.99989	0.99999	1.0	19510	0	0.56862	0.00011295	0.0040508	0.142269	224	4	0.56862
Orc1	4	0.99989	0.99999	1.0	19509	0	1.2595	0.00011461	0.0040508	0.142269	225	4	1.2595
Metap1	4	0.99988	0.99999	1.0	19508	0	0.91919	0.00011606	0.0040513	0.142269	226	4	0.91919
4933402N22Rik	4	0.99907	0.99986	1.0	19371	0	1.0754	0.00011804	0.0040513	0.142269	227	4	1.0754
Ubp1	4	0.99988	0.99999	1.0	19507	0	1.0045	0.00011885	0.0040513	0.142269	228	4	1.0045
Gm3604	4	0.99348	0.99832	1.0	19096	0	0.97404	0.00011904	0.0040513	0.142269	229	4	0.97404
Lsm7	4	0.99973	0.99999	1.0	19462	0	1.5506	0.00012032	0.0040513	0.142269	230	4	1.5506
Krtap5-3	4	0.99983	0.99999	1.0	19495	0	1.1302	0.00012162	0.0040513	0.142269	231	4	1.1302
Gm5458	4	0.70584	0.81088	1.0	13354	1	1.2574	0.0001241	0.0040513	0.142269	232	3	1.2574
