"ID" "X[[i]]"
"86" "BIOCARTA_BCR_PATHWAY" "map3k1"
"87" "BIOCARTA_BCR_PATHWAY" "hras"
"88" "BIOCARTA_BCR_PATHWAY" "calm3"
"89" "BIOCARTA_BCR_PATHWAY" "shc1"
"90" "BIOCARTA_BCR_PATHWAY" "raf1"
"91" "BIOCARTA_BCR_PATHWAY" "nfatc3"
"92" "BIOCARTA_BCR_PATHWAY" "nfatc4"
"93" "BIOCARTA_BCR_PATHWAY" "cd79a"
"94" "BIOCARTA_BCR_PATHWAY" "prkcb"
"95" "BIOCARTA_BIOPEPTIDES_PATHWAY" "stat1"
"96" "BIOCARTA_BIOPEPTIDES_PATHWAY" "mapk14"
"97" "BIOCARTA_CACAM_PATHWAY" "camk4"
"98" "BIOCARTA_CACAM_PATHWAY" "camk2a"
"99" "BIOCARTA_CDMAC_PATHWAY" "myc"
"100" "BIOCARTA_CDMAC_PATHWAY" "nfkbia"
"101" "BIOCARTA_CDMAC_PATHWAY" "rela"
"102" "BIOCARTA_CASPASE_PATHWAY" "cycs"
"103" "BIOCARTA_CASPASE_PATHWAY" "parp1"
"104" "BIOCARTA_CASPASE_PATHWAY" "lmnb2"
"105" "BIOCARTA_CASPASE_PATHWAY" "casp3"
"106" "BIOCARTA_CASPASE_PATHWAY" "casp9"
"107" "BIOCARTA_CASPASE_PATHWAY" "casp1"
"108" "BIOCARTA_CBL_PATHWAY" "csf1r"
"109" "BIOCARTA_CBL_PATHWAY" "prkcb"
"110" "BIOCARTA_CBL_PATHWAY" "egf"
"111" "BIOCARTA_CCR3_PATHWAY" "gnas"
"112" "BIOCARTA_CCR3_PATHWAY" "pik3c2g"
"113" "BIOCARTA_CCR3_PATHWAY" "map2k1"
"114" "BIOCARTA_CCR3_PATHWAY" "ccl11"
"115" "BIOCARTA_CCR3_PATHWAY" "rhoa"
"116" "BIOCARTA_CCR3_PATHWAY" "prkca"
"117" "BIOCARTA_CCR3_PATHWAY" "mapk3"
"118" "BIOCARTA_CD40_PATHWAY" "traf3"
"119" "BIOCARTA_CD40_PATHWAY" "nfkbia"
"120" "BIOCARTA_CD40_PATHWAY" "ikbkg"
"121" "BIOCARTA_CD40_PATHWAY" "rela"
"122" "BIOCARTA_CD40_PATHWAY" "cd40lg"
"123" "BIOCARTA_CD40_PATHWAY" "dusp1"
"124" "BIOCARTA_CD40_PATHWAY" "traf6"
"125" "BIOCARTA_MCM_PATHWAY" "orc6"
"126" "BIOCARTA_MCM_PATHWAY" "orc5"
"127" "BIOCARTA_MCM_PATHWAY" "orc2"
"128" "BIOCARTA_MCM_PATHWAY" "orc4"
"129" "BIOCARTA_MCM_PATHWAY" "mcm7"
"130" "BIOCARTA_MCM_PATHWAY" "mcm4"
"131" "BIOCARTA_MCM_PATHWAY" "mcm6"
"132" "BIOCARTA_MCM_PATHWAY" "cdc6"
"133" "BIOCARTA_MCM_PATHWAY" "orc3"
"134" "BIOCARTA_MCM_PATHWAY" "kitl"
"135" "BIOCARTA_MCM_PATHWAY" "ccne1"
"136" "BIOCARTA_G1_PATHWAY" "tfdp1"
"137" "BIOCARTA_G1_PATHWAY" "cdk1"
"138" "BIOCARTA_G1_PATHWAY" "skp2"
"139" "BIOCARTA_G1_PATHWAY" "atr"
"140" "BIOCARTA_G1_PATHWAY" "ccnd1"
"141" "BIOCARTA_G1_PATHWAY" "gsk3b"
"142" "BIOCARTA_G1_PATHWAY" "dhfr"
"143" "BIOCARTA_G1_PATHWAY" "cdk4"
"144" "BIOCARTA_G1_PATHWAY" "e2f1"
"145" "BIOCARTA_G1_PATHWAY" "tgfb1"
"146" "BIOCARTA_G1_PATHWAY" "ccne1"
"147" "BIOCARTA_G1_PATHWAY" "cdk6"
"148" "BIOCARTA_G2_PATHWAY" "chek1"
"149" "BIOCARTA_G2_PATHWAY" "plk1"
"150" "BIOCARTA_G2_PATHWAY" "cdk1"
"151" "BIOCARTA_G2_PATHWAY" "atr"
"152" "BIOCARTA_G2_PATHWAY" "rps6ka1"
"153" "BIOCARTA_G2_PATHWAY" "cdc25b"
"154" "BIOCARTA_G2_PATHWAY" "ep300"
"155" "BIOCARTA_G2_PATHWAY" "wee1"
"156" "BIOCARTA_CELL2CELL_PATHWAY" "vcl"
"157" "BIOCARTA_CELL2CELL_PATHWAY" "ctnna2"
"158" "BIOCARTA_CELL2CELL_PATHWAY" "actn2"
"159" "BIOCARTA_CELL2CELL_PATHWAY" "actn3"
"160" "BIOCARTA_CERAMIDE_PATHWAY" "fadd"
"161" "BIOCARTA_CERAMIDE_PATHWAY" "cycs"
"162" "BIOCARTA_CERAMIDE_PATHWAY" "nfkb1"
"163" "BIOCARTA_CERAMIDE_PATHWAY" "map2k4"
"164" "BIOCARTA_CLASSIC_PATHWAY" "c7"
"165" "BIOCARTA_CLASSIC_PATHWAY" "c4b"
"166" "BIOCARTA_CLASSIC_PATHWAY" "c1qb"
"167" "BIOCARTA_CLASSIC_PATHWAY" "c2"
"168" "BIOCARTA_COMP_PATHWAY" "vps33a"
"169" "BIOCARTA_COMP_PATHWAY" "mbl1"
"170" "BIOCARTA_VDR_PATHWAY" "tsc2"
"171" "BIOCARTA_VDR_PATHWAY" "prmt1"
"172" "BIOCARTA_VDR_PATHWAY" "top2b"
"173" "BIOCARTA_VDR_PATHWAY" "supt16"
"174" "BIOCARTA_VDR_PATHWAY" "rxra"
"175" "BIOCARTA_VDR_PATHWAY" "actl6a"
"176" "BIOCARTA_VDR_PATHWAY" "ncor1"
"177" "BIOCARTA_VDR_PATHWAY" "crebbp"
"178" "BIOCARTA_VDR_PATHWAY" "smarcd1"
"179" "BIOCARTA_VDR_PATHWAY" "ep300"
"180" "BIOCARTA_VDR_PATHWAY" "snw1"
"181" "BIOCARTA_HDAC_PATHWAY" "mapk14"
"182" "BIOCARTA_HDAC_PATHWAY" "akt1"
"183" "BIOCARTA_HDAC_PATHWAY" "camk2a"
"184" "BIOCARTA_HDAC_PATHWAY" "igf1r"
"185" "BIOCARTA_HDAC_PATHWAY" "mapk7"
"186" "BIOCARTA_GCR_PATHWAY" "gnas"
"187" "BIOCARTA_GCR_PATHWAY" "akt1"
"188" "BIOCARTA_CTCF_PATHWAY" "mtor"
"189" "BIOCARTA_CTCF_PATHWAY" "trp53"
"190" "BIOCARTA_CTCF_PATHWAY" "cdkn2a"
"191" "BIOCARTA_CTCF_PATHWAY" "myc"
"192" "BIOCARTA_CTCF_PATHWAY" "smad4"
"193" "BIOCARTA_CTCF_PATHWAY" "cdkn1b"
"194" "BIOCARTA_CTCF_PATHWAY" "tgfb2"
"195" "BIOCARTA_CTL_PATHWAY" "itgb2"
"196" "BIOCARTA_CTL_PATHWAY" "cd247"
"197" "BIOCARTA_CTL_PATHWAY" "cd3e"
"198" "BIOCARTA_CTL_PATHWAY" "cd3d"
"199" "BIOCARTA_CTL_PATHWAY" "icam1"
"200" "BIOCARTA_CTL_PATHWAY" "itgal"
"201" "BIOCARTA_CTL_PATHWAY" "gzmb"
"202" "BIOCARTA_CXCR4_PATHWAY" "nfkb1"
"203" "BIOCARTA_CXCR4_PATHWAY" "hras"
"204" "BIOCARTA_CXCR4_PATHWAY" "ptk2b"
"205" "BIOCARTA_CXCR4_PATHWAY" "raf1"
"206" "BIOCARTA_CXCR4_PATHWAY" "prkcb"
"207" "BIOCARTA_CXCR4_PATHWAY" "bcar1"
"208" "BIOCARTA_CELLCYCLE_PATHWAY" "tfdp1"
"209" "BIOCARTA_CELLCYCLE_PATHWAY" "cdk1"
"210" "BIOCARTA_CELLCYCLE_PATHWAY" "ccnd1"
"211" "BIOCARTA_CELLCYCLE_PATHWAY" "cdk4"
"212" "BIOCARTA_CELLCYCLE_PATHWAY" "ccnh"
"213" "BIOCARTA_CELLCYCLE_PATHWAY" "e2f1"
"214" "BIOCARTA_CELLCYCLE_PATHWAY" "ccne1"
"215" "BIOCARTA_CELLCYCLE_PATHWAY" "cdk6"
"216" "BIOCARTA_CFTR_PATHWAY" "prkar2b"
"217" "BIOCARTA_CFTR_PATHWAY" "prkar2a"
"218" "BIOCARTA_CFTR_PATHWAY" "prkacb"
"219" "BIOCARTA_CFTR_PATHWAY" "prkar1b"
"220" "BIOCARTA_CFTR_PATHWAY" "adcy1"
"221" "BIOCARTA_CYTOKINE_PATHWAY" "ifnb1"
"222" "BIOCARTA_CYTOKINE_PATHWAY" "il6"
"223" "BIOCARTA_CYTOKINE_PATHWAY" "il10"
"224" "BIOCARTA_INFLAM_PATHWAY" "ifnb1"
"225" "BIOCARTA_INFLAM_PATHWAY" "il6"
"226" "BIOCARTA_INFLAM_PATHWAY" "tgfb2"
"227" "BIOCARTA_INFLAM_PATHWAY" "il10"
"228" "BIOCARTA_D4GDI_PATHWAY" "cycs"
"229" "BIOCARTA_D4GDI_PATHWAY" "jun"
"230" "BIOCARTA_D4GDI_PATHWAY" "parp1"
"231" "BIOCARTA_D4GDI_PATHWAY" "casp3"
"232" "BIOCARTA_D4GDI_PATHWAY" "casp9"
"233" "BIOCARTA_D4GDI_PATHWAY" "casp1"
"234" "BIOCARTA_P35ALZHEIMERS_PATHWAY" "gsk3b"
"235" "BIOCARTA_P35ALZHEIMERS_PATHWAY" "ppp2ca"
"236" "BIOCARTA_P35ALZHEIMERS_PATHWAY" "capn1"
"237" "BIOCARTA_P35ALZHEIMERS_PATHWAY" "cdk5"
"238" "BIOCARTA_RNA_PATHWAY" "trp53"
"239" "BIOCARTA_RNA_PATHWAY" "nfkbia"
"240" "BIOCARTA_RNA_PATHWAY" "rela"
"241" "BIOCARTA_MTA3_PATHWAY" "tuba1c"
"242" "BIOCARTA_MTA3_PATHWAY" "tuba1b"
"243" "BIOCARTA_MTA3_PATHWAY" "gapdh"
"244" "BIOCARTA_MTA3_PATHWAY" "tuba1a"
"245" "BIOCARTA_SKP2E2F_PATHWAY" "tfdp1"
"246" "BIOCARTA_SKP2E2F_PATHWAY" "skp2"
"247" "BIOCARTA_SKP2E2F_PATHWAY" "e2f1"
"248" "BIOCARTA_SKP2E2F_PATHWAY" "ccne1"
"249" "BIOCARTA_SKP2E2F_PATHWAY" "cul1"
"250" "BIOCARTA_SKP2E2F_PATHWAY" "rb1"
"251" "BIOCARTA_CALCINEURIN_PATHWAY" "cdkn1a"
"252" "BIOCARTA_CALCINEURIN_PATHWAY" "sp1"
"253" "BIOCARTA_EGF_PATHWAY" "stat1"
"254" "BIOCARTA_EGF_PATHWAY" "jak1"
"255" "BIOCARTA_NDKDYNAMIN_PATHWAY" "ppp3cb"
"256" "BIOCARTA_NDKDYNAMIN_PATHWAY" "nme1"
"257" "BIOCARTA_NDKDYNAMIN_PATHWAY" "calm3"
"258" "BIOCARTA_NDKDYNAMIN_PATHWAY" "dnm1"
"259" "BIOCARTA_NDKDYNAMIN_PATHWAY" "epn1"
"260" "BIOCARTA_NDKDYNAMIN_PATHWAY" "synj1"
"261" "BIOCARTA_EPHA4_PATHWAY" "rap1b"
"262" "BIOCARTA_EPHA4_PATHWAY" "fyn"
"263" "BIOCARTA_EPO_PATHWAY" "ptpn6"
"264" "BIOCARTA_EPO_PATHWAY" "jun"
"265" "BIOCARTA_EPO_PATHWAY" "csnk2a1"
"266" "BIOCARTA_EPO_PATHWAY" "epo"
"267" "BIOCARTA_EPO_PATHWAY" "hras"
"268" "BIOCARTA_EPO_PATHWAY" "shc1"
"269" "BIOCARTA_EPO_PATHWAY" "raf1"
"270" "BIOCARTA_ECM_PATHWAY" "pfn1"
"271" "BIOCARTA_ECM_PATHWAY" "tln1"
"272" "BIOCARTA_ECM_PATHWAY" "pik3cg"
"273" "BIOCARTA_ECM_PATHWAY" "hras"
"274" "BIOCARTA_ECM_PATHWAY" "mylk"
"275" "BIOCARTA_ECM_PATHWAY" "shc1"
"276" "BIOCARTA_ECM_PATHWAY" "raf1"
"277" "BIOCARTA_ERK_PATHWAY" "gnas"
"278" "BIOCARTA_ERK_PATHWAY" "myc"
"279" "BIOCARTA_ERK_PATHWAY" "mknk2"
"280" "BIOCARTA_ERK_PATHWAY" "pdgfra"
"281" "BIOCARTA_ERK_PATHWAY" "rps6ka5"
"282" "BIOCARTA_ERK_PATHWAY" "stat3"
"283" "BIOCARTA_ERK_PATHWAY" "igf1r"
"284" "BIOCARTA_ERK_PATHWAY" "map2k2"
"285" "BIOCARTA_ERK_PATHWAY" "map2k1"
"286" "BIOCARTA_ERK_PATHWAY" "mknk1"
"287" "BIOCARTA_ERK_PATHWAY" "ptprr"
"288" "BIOCARTA_ERYTH_PATHWAY" "kitl"
"289" "BIOCARTA_ERYTH_PATHWAY" "tgfb1"
"290" "BIOCARTA_ERYTH_PATHWAY" "epo"
"291" "BIOCARTA_ERYTH_PATHWAY" "csf2"
"292" "BIOCARTA_ERYTH_PATHWAY" "flt3"
"293" "BIOCARTA_ERYTH_PATHWAY" "il3"
"294" "BIOCARTA_ERYTH_PATHWAY" "il11"
"295" "BIOCARTA_ERYTH_PATHWAY" "il9"
"296" "BIOCARTA_EPONFKB_PATHWAY" "cdkn1a"
"297" "BIOCARTA_EPONFKB_PATHWAY" "nfkbia"
"298" "BIOCARTA_EPONFKB_PATHWAY" "rela"
"299" "BIOCARTA_EPONFKB_PATHWAY" "jak2"
"300" "BIOCARTA_EIF_PATHWAY" "eef2"
"301" "BIOCARTA_EIF_PATHWAY" "eif2s3x"
"302" "BIOCARTA_EIF_PATHWAY" "eif6"
"303" "BIOCARTA_EIF_PATHWAY" "eif2s1"
"304" "BIOCARTA_EIF_PATHWAY" "eif5"
"305" "BIOCARTA_EXTRINSIC_PATHWAY" "pros1"
"306" "BIOCARTA_EXTRINSIC_PATHWAY" "fgb"
"307" "BIOCARTA_EXTRINSIC_PATHWAY" "serpinc1"
"308" "BIOCARTA_EXTRINSIC_PATHWAY" "f2r"
"309" "BIOCARTA_FAS_PATHWAY" "pak2"
"310" "BIOCARTA_FAS_PATHWAY" "fadd"
"311" "BIOCARTA_FAS_PATHWAY" "daxx"
"312" "BIOCARTA_FAS_PATHWAY" "cflar"
"313" "BIOCARTA_FAS_PATHWAY" "map2k4"
"314" "BIOCARTA_FAS_PATHWAY" "jun"
"315" "BIOCARTA_FAS_PATHWAY" "parp1"
"316" "BIOCARTA_FAS_PATHWAY" "map3k1"
"317" "BIOCARTA_FAS_PATHWAY" "lmnb2"
"318" "BIOCARTA_FAS_PATHWAY" "casp3"
"319" "BIOCARTA_FAS_PATHWAY" "rb1"
"320" "BIOCARTA_FAS_PATHWAY" "ptpn13"
"321" "BIOCARTA_FCER1_PATHWAY" "pak2"
"322" "BIOCARTA_FCER1_PATHWAY" "syk"
"323" "BIOCARTA_FCER1_PATHWAY" "map2k7"
"324" "BIOCARTA_FCER1_PATHWAY" "vav1"
"325" "BIOCARTA_FCER1_PATHWAY" "btk"
"326" "BIOCARTA_FCER1_PATHWAY" "map2k4"
"327" "BIOCARTA_FCER1_PATHWAY" "jun"
"328" "BIOCARTA_FCER1_PATHWAY" "pik3cg"
"329" "BIOCARTA_FCER1_PATHWAY" "ppp3cb"
"330" "BIOCARTA_FCER1_PATHWAY" "map3k1"
"331" "BIOCARTA_FCER1_PATHWAY" "hras"
"332" "BIOCARTA_FCER1_PATHWAY" "calm3"
"333" "BIOCARTA_FCER1_PATHWAY" "shc1"
"334" "BIOCARTA_FCER1_PATHWAY" "raf1"
"335" "BIOCARTA_FIBRINOLYSIS_PATHWAY" "plau"
"336" "BIOCARTA_FIBRINOLYSIS_PATHWAY" "plat"
"337" "BIOCARTA_FIBRINOLYSIS_PATHWAY" "fgb"
"338" "BIOCARTA_FMLP_PATHWAY" "mapk14"
"339" "BIOCARTA_FMLP_PATHWAY" "nfkbia"
"340" "BIOCARTA_FMLP_PATHWAY" "rela"
"341" "BIOCARTA_FMLP_PATHWAY" "camk2a"
"342" "BIOCARTA_FMLP_PATHWAY" "map2k2"
"343" "BIOCARTA_FMLP_PATHWAY" "pik3c2g"
"344" "BIOCARTA_FMLP_PATHWAY" "map2k1"
"345" "BIOCARTA_FMLP_PATHWAY" "gna15"
"346" "BIOCARTA_FREE_PATHWAY" "sod1"
"347" "BIOCARTA_FREE_PATHWAY" "nfkb1"
"348" "BIOCARTA_FREE_PATHWAY" "gss"
"349" "BIOCARTA_FREE_PATHWAY" "gpx1"
"350" "BIOCARTA_GABA_PATHWAY" "nsf"
"351" "BIOCARTA_GABA_PATHWAY" "gabarap"
"352" "BIOCARTA_GABA_PATHWAY" "ubqln1"
"353" "BIOCARTA_GATA3_PATHWAY" "mapk14"
"354" "BIOCARTA_GATA3_PATHWAY" "maf"
"355" "BIOCARTA_SET_PATHWAY" "crebbp"
"356" "BIOCARTA_SET_PATHWAY" "nme1"
"357" "BIOCARTA_SET_PATHWAY" "apex1"
"358" "BIOCARTA_SET_PATHWAY" "gzma"
"359" "BIOCARTA_GH_PATHWAY" "ptpn6"
"360" "BIOCARTA_GH_PATHWAY" "rps6ka1"
"361" "BIOCARTA_GH_PATHWAY" "pik3cg"
"362" "BIOCARTA_GH_PATHWAY" "hras"
"363" "BIOCARTA_GH_PATHWAY" "shc1"
"364" "BIOCARTA_GH_PATHWAY" "gh"
"365" "BIOCARTA_GH_PATHWAY" "raf1"
"366" "BIOCARTA_TCAPOPTOSIS_PATHWAY" "ccr5"
"367" "BIOCARTA_TCAPOPTOSIS_PATHWAY" "fasl"
"368" "BIOCARTA_TCAPOPTOSIS_PATHWAY" "cd4"
"369" "BIOCARTA_HIVNEF_PATHWAY" "pak2"
"370" "BIOCARTA_HIVNEF_PATHWAY" "rasa1"
"371" "BIOCARTA_HIVNEF_PATHWAY" "fadd"
"372" "BIOCARTA_HIVNEF_PATHWAY" "daxx"
"373" "BIOCARTA_HIVNEF_PATHWAY" "map2k7"
"374" "BIOCARTA_HIVNEF_PATHWAY" "cycs"
"375" "BIOCARTA_HIVNEF_PATHWAY" "nfkb1"
"376" "BIOCARTA_HIVNEF_PATHWAY" "cflar"
"377" "BIOCARTA_HIVNEF_PATHWAY" "parp1"
"378" "BIOCARTA_HIVNEF_PATHWAY" "map3k1"
"379" "BIOCARTA_HIVNEF_PATHWAY" "cdk11b"
"380" "BIOCARTA_HIVNEF_PATHWAY" "lmnb2"
"381" "BIOCARTA_HIVNEF_PATHWAY" "prkcd"
"382" "BIOCARTA_HIVNEF_PATHWAY" "casp3"
"383" "BIOCARTA_HIVNEF_PATHWAY" "psen1"
"384" "BIOCARTA_HIVNEF_PATHWAY" "actg1"
"385" "BIOCARTA_HIVNEF_PATHWAY" "bid"
"386" "BIOCARTA_HIVNEF_PATHWAY" "casp9"
"387" "BIOCARTA_HIVNEF_PATHWAY" "rb1"
"388" "BIOCARTA_MPR_PATHWAY" "cdk1"
"389" "BIOCARTA_MPR_PATHWAY" "rps6ka1"
"390" "BIOCARTA_MPR_PATHWAY" "cap1"
"391" "BIOCARTA_MPR_PATHWAY" "hras"
"392" "BIOCARTA_MPR_PATHWAY" "prkar2b"
"393" "BIOCARTA_MPR_PATHWAY" "prkar2a"
"394" "BIOCARTA_MPR_PATHWAY" "prkacb"
"395" "BIOCARTA_MPR_PATHWAY" "myt1"
"396" "BIOCARTA_MPR_PATHWAY" "prkar1b"
"397" "BIOCARTA_MPR_PATHWAY" "adcy1"
"398" "BIOCARTA_HCMV_PATHWAY" "mapk14"
"399" "BIOCARTA_HCMV_PATHWAY" "akt1"
"400" "BIOCARTA_HCMV_PATHWAY" "sp1"
"401" "BIOCARTA_HCMV_PATHWAY" "rela"
"402" "BIOCARTA_IGF1_PATHWAY" "rasa1"
"403" "BIOCARTA_IGF1_PATHWAY" "jun"
"404" "BIOCARTA_IGF1_PATHWAY" "csnk2a1"
"405" "BIOCARTA_IGF1_PATHWAY" "ptpn11"
"406" "BIOCARTA_IGF1_PATHWAY" "pik3cg"
"407" "BIOCARTA_IGF1_PATHWAY" "hras"
"408" "BIOCARTA_IGF1_PATHWAY" "shc1"
"409" "BIOCARTA_IGF1_PATHWAY" "raf1"
"410" "BIOCARTA_IL17_PATHWAY" "il6"
"411" "BIOCARTA_IL17_PATHWAY" "cd4"
"412" "BIOCARTA_IL17_PATHWAY" "cd2"
"413" "BIOCARTA_IL2_PATHWAY" "syk"
"414" "BIOCARTA_IL2_PATHWAY" "jun"
"415" "BIOCARTA_IL2_PATHWAY" "csnk2a1"
"416" "BIOCARTA_IL2_PATHWAY" "il2ra"
"417" "BIOCARTA_IL2_PATHWAY" "hras"
"418" "BIOCARTA_IL2_PATHWAY" "shc1"
"419" "BIOCARTA_IL2_PATHWAY" "raf1"
"420" "BIOCARTA_IL3_PATHWAY" "ptpn6"
"421" "BIOCARTA_IL3_PATHWAY" "hras"
"422" "BIOCARTA_IL3_PATHWAY" "shc1"
"423" "BIOCARTA_IL3_PATHWAY" "il3"
"424" "BIOCARTA_IL3_PATHWAY" "raf1"
"425" "BIOCARTA_IL4_PATHWAY" "jak1"
"426" "BIOCARTA_IL4_PATHWAY" "akt1"
"427" "BIOCARTA_IL4_PATHWAY" "il2rg"
"428" "BIOCARTA_IL4_PATHWAY" "jak3"
"429" "BIOCARTA_IL4_PATHWAY" "stat6"
"430" "BIOCARTA_IL4_PATHWAY" "il4"
"431" "BIOCARTA_IL4_PATHWAY" "irs1"
"432" "BIOCARTA_IL5_PATHWAY" "il6"
"433" "BIOCARTA_IL5_PATHWAY" "cd4"
"434" "BIOCARTA_IL5_PATHWAY" "il4"
"435" "BIOCARTA_IL5_PATHWAY" "ccl11"
"436" "BIOCARTA_IL5_PATHWAY" "il5ra"
"437" "BIOCARTA_IL5_PATHWAY" "il1b"
"438" "BIOCARTA_IL6_PATHWAY" "jak1"
"439" "BIOCARTA_IL6_PATHWAY" "cebpb"
"440" "BIOCARTA_IL6_PATHWAY" "il6"
"441" "BIOCARTA_IL6_PATHWAY" "il6st"
"442" "BIOCARTA_IL6_PATHWAY" "stat3"
"443" "BIOCARTA_IL6_PATHWAY" "jak2"
"444" "BIOCARTA_IL6_PATHWAY" "csnk2a2"
"445" "BIOCARTA_IL6_PATHWAY" "jak3"
"446" "BIOCARTA_IL6_PATHWAY" "il6ra"
"447" "BIOCARTA_IL10_PATHWAY" "stat1"
"448" "BIOCARTA_IL10_PATHWAY" "jak1"
"449" "BIOCARTA_IL10_PATHWAY" "il6"
"450" "BIOCARTA_IL10_PATHWAY" "blvra"
"451" "BIOCARTA_IL10_PATHWAY" "il10"
